title,artist,top genre,year,added,Beats per minute,energy,danceability,Loudness (dB),liveness,valence,duration,acousticness,speechiness,popularity,album
Falling Fast,Avril Lavigne,canadian pop,2013,2020‑03‑05,174,43,50,-9,14,42,194,49,4,43,Avril Lavigne
I Don't Have To Try,Avril Lavigne,canadian pop,2007,2020‑03‑05,212,97,42,-3,8,25,197,0,35,42,The Best Damn Thing
One of Those Girls,Avril Lavigne,canadian pop,2007,2020‑03‑05,92,93,51,-3,15,74,175,0,4,42,The Best Damn Thing
Stop Standing There,Avril Lavigne,canadian pop,2011,2020‑03‑05,142,89,64,-5,7,91,207,0,5,42,Goodbye Lullaby
Not Enough,Avril Lavigne,canadian pop,2011,2020‑03‑05,136,88,52,-4,10,24,259,0,4,42,Goodbye Lullaby
Darlin,Avril Lavigne,canadian pop,2011,2020‑03‑05,179,58,37,-5,8,40,231,21,3,42,Goodbye Lullaby
Hello Heartache,Avril Lavigne,canadian pop,2013,2020‑03‑05,174,76,51,-4,34,59,229,9,4,42,Avril Lavigne
Black Star,Avril Lavigne,canadian pop,2011,2020‑03‑05,128,33,54,-9,19,20,94,61,3,41,Goodbye Lullaby
4 Real,Avril Lavigne,canadian pop,2011,2020‑03‑05,78,84,52,-6,11,28,208,0,3,41,Goodbye Lullaby
Sippin' On Sunshine,Avril Lavigne,canadian pop,2013,2020‑03‑05,176,73,55,-7,32,56,209,0,12,41,Avril Lavigne
Goodbye,Avril Lavigne,canadian pop,2011,2020‑03‑05,167,33,18,-7,13,24,272,72,3,40,Goodbye Lullaby
You Ain't Seen Nothin' Yet,Avril Lavigne,canadian pop,2013,2020‑03‑05,145,90,56,-4,7,67,193,0,6,40,Avril Lavigne
